客户ID,是否流失
150000,0.04427333333333333
150001,0.72288
150002,0.3037033333333334
150003,0.9611466666666666
150004,0.7512066666666666
150005,0.96338
150006,0.8085933333333333
150007,0.10696
150008,0.07178
150009,0.34995333333333334
150010,0.41190666666666664
150011,0.41156333333333334
150012,0.9915666666666667
150013,0.54576
150014,0.2741866666666667
150015,0.25769333333333333
150016,0.02184
150017,0.03342666666666667
150018,0.21162
150019,0.08505333333333334
150020,0.11532
150021,0.59779
150022,0.4643866666666666
150023,0.19928
150024,0.46918
150025,0.79068
150026,0.3290266666666667
150027,0.23397333333333337
150028,0.3865533333333333
150029,0.40313333333333334
150030,0.30608
150031,0.4796533333333334
150032,0.6602666666666667
150033,0.22457333333333335
150034,0.46718
150035,0.5263666666666666
150036,0.34409999999999996
150037,0.5513766666666666
150038,0.64162
150039,0.7893133333333333
150040,0.18101666666666666
150041,0.44702
150042,0.6965466666666668
150043,0.19779333333333332
150044,0.57946
150045,0.8723133333333334
150046,0.16141
150047,0.6411866666666666
150048,0.3569366666666667
150049,0.4615066666666667
150050,0.99518
150051,0.13855333333333333
150052,0.56024
150053,0.09444666666666666
150054,0.8844066666666668
150055,0.21107333333333334
150056,0.5881466666666667
150057,0.4476833333333334
150058,0.6028066666666666
150059,0.19226
150060,0.6408166666666666
150061,0.9141199999999999
150062,0.9022399999999999
150063,0.45306
150064,0.7128066666666666
150065,0.47437
150066,0.8251733333333333
150067,0.2279066666666667
150068,0.8680866666666667
150069,0.4167133333333333
150070,0.9624733333333333
150071,0.39649
150072,0.3731933333333334
150073,0.772
150074,0.7786966666666666
150075,0.40459333333333336
150076,0.4868133333333333
150077,0.49002
150078,0.7070466666666666
150079,0.47584666666666664
150080,0.7268399999999999
150081,0.29930666666666667
150082,0.17466
150083,0.27416
150084,0.9347400000000001
150085,0.3553733333333333
150086,0.5413666666666667
150087,0.7809266666666667
150088,0.48061333333333334
150089,0.3335866666666667
150090,0.9788866666666667
150091,0.45162
150092,0.05497333333333333
150093,0.5088533333333334
150094,0.5693600000000001
150095,0.52324
150096,0.11462
150097,0.7610399999999999
150098,0.5448066666666667
150099,0.9819733333333334
150100,0.6776866666666668
150101,0.79596
150102,0.82406
150103,0.9084533333333334
150104,0.09187000000000001
150105,0.5032
150106,0.7229666666666666
150107,0.37639333333333336
150108,0.07336666666666666
150109,0.90314
150110,0.16340000000000002
150111,0.5956600000000001
150112,0.41778666666666664
150113,0.24366000000000002
150114,0.2835533333333333
150115,0.86046
150116,0.5370533333333334
150117,0.07498666666666667
150118,0.6679866666666666
150119,0.92298
150120,0.7642866666666667
150121,0.5648266666666666
150122,0.31981333333333334
150123,0.5619066666666667
150124,0.87912
150125,0.02010666666666667
150126,0.32775333333333334
150127,0.9123266666666667
150128,0.90978
150129,0.69036
150130,0.8382066666666667
150131,0.2449
150132,0.20072
150133,0.4864866666666667
150134,0.8162
150135,0.7497866666666666
150136,0.7229466666666666
150137,0.05669333333333333
150138,0.47092
150139,0.68616
150140,0.20181333333333332
150141,0.90454
150142,0.09936
150143,0.7829933333333333
150144,0.2723466666666667
150145,0.5162666666666667
150146,0.13992
150147,0.06452666666666668
150148,0.8346666666666667
150149,0.69825
150150,0.7168933333333334
150151,0.4698933333333333
150152,0.38722666666666666
150153,0.8868
150154,0.20778
150155,0.12530666666666668
150156,0.024693333333333334
150157,0.09405
150158,0.6436666666666666
150159,0.07913999999999999
150160,0.8104466666666666
150161,0.9842000000000001
150162,0.8516966666666668
150163,0.6485299999999999
150164,0.08321999999999999
150165,0.002693333333333333
150166,0.9724999999999999
150167,0.7358833333333332
150168,0.18345
150169,0.2896266666666667
150170,0.7640866666666666
150171,0.02425333333333333
150172,0.33718000000000004
150173,0.7281733333333333
150174,0.7737333333333333
150175,0.5446733333333333
150176,0.93536
150177,0.18677333333333335
150178,0.0627
150179,0.04611333333333334
150180,0.8024533333333332
150181,0.6469666666666667
150182,0.48257333333333335
150183,0.33444
150184,0.08071333333333333
150185,0.43794
150186,0.11868
150187,0.45714
150188,0.34420666666666666
150189,0.5506333333333333
150190,0.4074833333333333
150191,0.38155333333333336
150192,0.4559466666666667
150193,0.056113333333333335
150194,0.90934
150195,0.4157466666666667
150196,0.6604333333333333
150197,0.7345733333333333
150198,0.19356666666666666
150199,0.24158
150200,0.24873333333333333
150201,0.6846333333333334
150202,0.91054
150203,0.43855333333333335
150204,0.6434799999999999
150205,0.07305333333333333
150206,0.66852
150207,0.7808333333333333
150208,0.66963
150209,0.59817
150210,0.46043999999999996
150211,0.7772066666666667
150212,0.6138566666666666
150213,0.09774
150214,0.5207200000000001
150215,0.10406
150216,0.048666666666666664
150217,0.9534066666666667
150218,0.005016666666666667
150219,0.6394866666666666
150220,0.38848666666666665
150221,0.6350333333333333
150222,0.7308866666666667
150223,0.1021
150224,0.016246666666666666
150225,0.41908333333333336
150226,0.95936
150227,0.19168999999999997
150228,0.7155933333333333
150229,0.4945333333333333
150230,0.5239533333333333
150231,0.9928566666666667
150232,0.5765
150233,0.5400466666666667
150234,0.84918
150235,0.54852
150236,0.10366666666666667
150237,0.9945533333333334
150238,0.9485466666666666
150239,0.42197666666666667
150240,0.30033999999999994
150241,0.5202333333333333
150242,0.5138666666666667
150243,0.9000733333333334
150244,0.4961933333333334
150245,0.18825999999999998
150246,0.3196266666666666
150247,0.8943733333333335
150248,0.6906
150249,0.6178466666666667
150250,0.6593833333333334
150251,0.33496000000000004
150252,0.31255333333333335
150253,0.14204333333333333
150254,0.8179733333333333
150255,0.9670333333333333
150256,0.9027533333333334
150257,0.2688933333333333
150258,0.45688666666666666
150259,0.4908733333333333
150260,0.1827666666666667
150261,0.3889566666666666
150262,0.37246999999999997
150263,0.8106966666666666
150264,0.2221533333333333
150265,0.09964
150266,0.7962199999999999
150267,0.11841000000000002
150268,0.39794666666666667
150269,0.9193666666666667
150270,0.61827
150271,0.19544666666666666
150272,0.04461333333333333
150273,0.5358333333333333
150274,0.8976466666666666
150275,0.9138533333333334
150276,0.22352666666666665
150277,0.2835066666666667
150278,0.13287333333333334
150279,0.23166
150280,0.7010933333333333
150281,0.07441
150282,0.23776666666666665
150283,0.9092933333333333
150284,0.81376
150285,0.24400666666666665
150286,0.6570266666666666
150287,0.20314
150288,0.5028166666666667
150289,0.11002
150290,0.5535733333333333
150291,0.3231
150292,0.6754666666666667
150293,0.10219333333333333
150294,0.3695333333333333
150295,0.9970066666666667
150296,0.39832666666666666
150297,0.38624
150298,0.1783266666666667
150299,0.5976066666666667
150300,0.9458333333333333
150301,0.3420666666666667
150302,0.9765133333333333
150303,0.14448
150304,0.6760766666666667
150305,0.01508
150306,0.6220866666666667
150307,0.2981066666666667
150308,0.5029133333333333
150309,0.38774333333333333
150310,0.5169266666666666
150311,0.9661066666666667
150312,0.5095533333333333
150313,0.6061266666666667
150314,0.33924
150315,0.45842666666666665
150316,0.40471666666666667
150317,0.7673733333333332
150318,0.08239333333333333
150319,0.26372666666666666
150320,0.7843466666666667
150321,0.40422
150322,0.7129466666666666
150323,0.19866
150324,0.7765500000000001
150325,0.67571
150326,0.30066
150327,0.45320000000000005
150328,0.6543533333333333
150329,0.9794333333333334
150330,0.7512966666666667
150331,0.5931733333333333
150332,0.5597133333333333
150333,0.008766666666666666
150334,0.16838
150335,0.21227999999999997
150336,0.5004833333333334
150337,0.34719333333333335
150338,0.3656866666666667
150339,0.7079199999999999
150340,0.24881999999999999
150341,0.33237333333333335
150342,0.3448066666666667
150343,0.6116466666666667
150344,0.907
150345,0.25953000000000004
150346,0.48262666666666665
150347,0.6748000000000001
150348,0.42455333333333334
150349,0.45526
150350,0.06344666666666667
150351,0.7666733333333333
150352,0.37856333333333336
150353,0.9740933333333333
150354,0.8306533333333334
150355,0.22591333333333335
150356,0.12888666666666665
150357,0.40574333333333334
150358,0.6070866666666667
150359,0.8630666666666666
150360,0.9550533333333334
150361,0.8694466666666666
150362,0.6382666666666668
150363,0.60968
150364,0.38826
150365,0.016633333333333333
150366,0.5433533333333334
150367,0.5942066666666668
150368,0.7214933333333333
150369,0.03898
150370,0.5107333333333333
150371,0.91884
150372,0.89748
150373,0.6270666666666667
150374,0.56318
150375,0.6003700000000001
150376,0.7863866666666667
150377,0.48377
150378,0.9453266666666666
150379,0.5309200000000001
150380,0.6939933333333334
150381,0.6165866666666666
150382,0.45364
150383,0.4427333333333333
150384,0.9668266666666666
150385,0.42972
150386,0.8184666666666667
150387,0.59294
150388,0.18911999999999998
150389,0.21694
150390,0.4341
150391,0.51786
150392,0.58247
150393,0.23387333333333332
150394,0.2877866666666667
150395,0.5196000000000001
150396,0.05955333333333333
150397,0.94106
